geometry,locationdesc,locationdesc,age,geographiclevel,locationdesc,locationdesc,blv_rate,blv_standardized
POINT (-67.12 18.14),Hormigueros Municipality,Hormigueros Municipality,All ages,County,Hormigueros Municipality,Hormigueros Municipality,8.56,2.5518672199170123
POINT (-66.31 18.34),Corozal Municipality,Corozal Municipality,All ages,County,Corozal Municipality,Corozal Municipality,8.56,2.5518672199170123
POINT (-65.65 18.33),Fajardo Municipality,Fajardo Municipality,All ages,County,Fajardo Municipality,Fajardo Municipality,8.55,2.5477178423236517
POINT (-82.807173 37.14583),Letcher County,Letcher County,All ages,County,Letcher County,Letcher County,8.44,2.50207468879668
POINT (-65.71 18.37),Luquillo Municipality,Luquillo Municipality,All ages,County,Luquillo Municipality,Luquillo Municipality,8.37,2.473029045643153
POINT (-88.991988 31.262821),Perry County,Perry County,All ages,County,Perry County,Perry County,8.28,2.435684647302904
POINT (-83.280834 31.604647),Irwin County,Irwin County,All ages,County,Irwin County,Irwin County,8.28,2.435684647302904
POINT (-92.894595 34.353464),Hot Spring County,Hot Spring County,All ages,County,Hot Spring County,Hot Spring County,8.26,2.4273858921161824
POINT (-87.836202 36.847047),Trigg County,Trigg County,All ages,County,Trigg County,Trigg County,8.24,2.4190871369294604
POINT (-65.97 18.25),Gurabo Municipality,Gurabo Municipality,All ages,County,Gurabo Municipality,Gurabo Municipality,8.24,2.4190871369294604
POINT (-99.817579 28.519099),Dimmit County,Dimmit County,All ages,County,Dimmit County,Dimmit County,8.17,2.3900414937759336
POINT (-87.687044 37.499711),Webster County,Webster County,All ages,County,Webster County,Webster County,8.17,2.3900414937759336
POINT (-67.15 18.43),Aguadilla Municipality,Aguadilla Municipality,All ages,County,Aguadilla Municipality,Aguadilla Municipality,8.13,2.3734439834024896
POINT (-90.519097 33.161583),Humphreys County,Humphreys County,All ages,County,Humphreys County,Humphreys County,8.13,2.3734439834024896
POINT (-83.988899 37.706277),Estill County,Estill County,All ages,County,Estill County,Estill County,8.06,2.3443983402489628
POINT (-100.19957 29.977801),Edwards County,Edwards County,All ages,County,Edwards County,Edwards County,7.97,2.3070539419087135
POINT (-66.22 18.22),Comerio Municipality,Comerio Municipality,All ages,County,Comerio Municipality,Comerio Municipality,7.93,2.2904564315352696
POINT (-84.437989 31.307754),Baker County,Baker County,All ages,County,Baker County,Baker County,7.89,2.273858921161825
POINT (-82.51692 37.830545),Martin County,Martin County,All ages,County,Martin County,Martin County,7.83,2.2489626556016598
POINT (-85.195883 35.612132),Bledsoe County,Bledsoe County,All ages,County,Bledsoe County,Bledsoe County,7.8,2.2365145228215764
POINT (-83.701396 36.687928),Bell County,Bell County,All ages,County,Bell County,Bell County,7.77,2.2240663900414934
POINT (-83.37635 37.115255),Leslie County,Leslie County,All ages,County,Leslie County,Leslie County,7.75,2.2157676348547715
POINT (-120.172826 47.511897),Douglas County,Douglas County,All ages,County,Douglas County,Douglas County,7.74,2.2116182572614105
POINT (-96.754422 34.020632),Marshall County,Marshall County,All ages,County,Marshall County,Marshall County,7.67,2.1825726141078836
POINT (-65.83 18.38),Rio Grande Municipality,Rio Grande Municipality,All ages,County,Rio Grande Municipality,Rio Grande Municipality,7.66,2.1784232365145226
POINT (-105.641319 31.420986),Hudspeth County,Hudspeth County,All ages,County,Hudspeth County,Hudspeth County,7.64,2.1701244813278007
POINT (-81.35449 33.29489),Barnwell County,Barnwell County,All ages,County,Barnwell County,Barnwell County,7.54,2.128630705394191
POINT (-96.278023 34.546448),Coal County,Coal County,All ages,County,Coal County,Coal County,7.51,2.1161825726141075
POINT (-95.477215 34.336743),Pushmataha County,Pushmataha County,All ages,County,Pushmataha County,Pushmataha County,7.49,2.107883817427386
POINT (-83.510902 37.740622),Wolfe County,Wolfe County,All ages,County,Wolfe County,Wolfe County,7.48,2.103734439834025
POINT (-92.062566 31.053586),Avoyelles Parish,Avoyelles Parish,All ages,County,Avoyelles Parish,Avoyelles Parish,7.46,2.0954356846473026
POINT (-83.20106 37.257625),Perry County,Perry County,All ages,County,Perry County,Perry County,7.45,2.0912863070539416
POINT (-108.1098303529 43.235541343),Wyoming,Wyoming,85 years and older,State,Wyoming,Wyoming,32.34,2.090497737556561
POINT (-99.296459 34.147319),Wilbarger County,Wilbarger County,All ages,County,Wilbarger County,Wilbarger County,7.44,2.087136929460581
POINT (-67.11 18.39),Moca Municipality,Moca Municipality,All ages,County,Moca Municipality,Moca Municipality,7.44,2.087136929460581
POINT (-74.385121 43.612034),Hamilton County,Hamilton County,All ages,County,Hamilton County,Hamilton County,7.43,2.0829875518672196
POINT (-82.420659 37.463505),Pike County,Pike County,All ages,County,Pike County,Pike County,7.4,2.0705394190871367
POINT (-87.926958 37.653315),Union County,Union County,All ages,County,Union County,Union County,7.39,2.0663900414937757
POINT (-85.720235 35.341946),Grundy County,Grundy County,All ages,County,Grundy County,Grundy County,7.39,2.0663900414937757
POINT (-66.99 18.33),San Sebastian Municipality,San Sebastian Municipality,All ages,County,San Sebastian Municipality,San Sebastian Municipality,7.37,2.0580912863070537
POINT (-92.44568007099 31.312660644),Louisiana,Louisiana,0-17 years,State,Louisiana,Louisiana,1.54,2.0533333333333332
POINT (-67.02 18.5),Isabela Municipality,Isabela Municipality,All ages,County,Isabela Municipality,Isabela Municipality,7.34,2.045643153526971
POINT (-82.738526 37.552299),Floyd County,Floyd County,All ages,County,Floyd County,Floyd County,7.23,2.0
POINT (-84.764519 32.069335),Stewart County,Stewart County,All ages,County,Stewart County,Stewart County,7.23,2.0
POINT (-95.245491 31.000011),Trinity County,Trinity County,All ages,County,Trinity County,Trinity County,7.22,1.9958506224066388
POINT (-77.353062 35.027454),Jones County,Jones County,All ages,County,Jones County,Jones County,7.21,1.9917012448132778
POINT (-93.124856 34.094705),Clark County,Clark County,All ages,County,Clark County,Clark County,7.21,1.9917012448132778
POINT (-91.318378 33.32186),Chicot County,Chicot County,All ages,County,Chicot County,Chicot County,7.2,1.9875518672199168
POINT (-80.71264013499 38.665510202),West Virginia,West Virginia,40-64 years,State,West Virginia,West Virginia,5.17,1.9808429118773947
POINT (-67.14 18.2),Mayaguez Municipality,Mayaguez Municipality,All ages,County,Mayaguez Municipality,Mayaguez Municipality,7.17,1.975103734439834
POINT (-66.32 18.41),Vega Alta Municipality,Vega Alta Municipality,All ages,County,Vega Alta Municipality,Vega Alta Municipality,7.16,1.970954356846473
POINT (-89.306905 33.929772),Calhoun County,Calhoun County,All ages,County,Calhoun County,Calhoun County,7.14,1.9626556016597507
POINT (-83.103165 36.715746),Lee County,Lee County,All ages,County,Lee County,Lee County,7.12,1.954356846473029
POINT (-84.905169 30.399795),Liberty County,Liberty County,All ages,County,Liberty County,Liberty County,7.11,1.950207468879668
POINT (-100.844887 34.012828),Motley County,Motley County,All ages,County,Motley County,Motley County,7.11,1.950207468879668
POINT (-91.464771 36.618129),Oregon County,Oregon County,All ages,County,Oregon County,Oregon County,7.1,1.9460580912863068
POINT (-84.77497104799 37.645970271),Kentucky,Kentucky,18-39 years,State,Kentucky,Kentucky,2.47,1.9296875000000002
POINT (-66.48 18.13),Villalba Municipality,Villalba Municipality,All ages,County,Villalba Municipality,Villalba Municipality,7.06,1.9294605809128627
POINT (-83.73656 38.139441),Bath County,Bath County,All ages,County,Bath County,Bath County,7.04,1.921161825726141
POINT (-83.636891 31.700824),Turner County,Turner County,All ages,County,Turner County,Turner County,7.02,1.9128630705394187
POINT (-66.03 18.23),Caguas Municipality,Caguas Municipality,All ages,County,Caguas Municipality,Caguas Municipality,7.01,1.9087136929460577
POINT (-101.807743 33.181411),Lynn County,Lynn County,All ages,County,Lynn County,Lynn County,7.01,1.9087136929460577
POINT (-85.45447 35.723509),Van Buren County,Van Buren County,All ages,County,Van Buren County,Van Buren County,7.01,1.9087136929460577
POINT (-104.260977 29.807527),Presidio County,Presidio County,All ages,County,Presidio County,Presidio County,7.01,1.9087136929460577
POINT (-88.066472 33.292973),Pickens County,Pickens County,All ages,County,Pickens County,Pickens County,6.98,1.896265560165975
POINT (-81.140806 37.352463),Mercer County,Mercer County,All ages,County,Mercer County,Mercer County,6.97,1.8921161825726138
POINT (-88.730627 32.062753),Clarke County,Clarke County,All ages,County,Clarke County,Clarke County,6.97,1.8921161825726138
POINT (-91.968488 37.328457),Texas County,Texas County,All ages,County,Texas County,Texas County,6.94,1.879668049792531
POINT (-82.379283 37.142003),Dickenson County,Dickenson County,All ages,County,Dickenson County,Dickenson County,6.93,1.87551867219917
POINT (-92.44568007099 31.312660644),Louisiana,Louisiana,18-39 years,State,Louisiana,Louisiana,2.4,1.875
POINT (-90.512622 37.107087),Wayne County,Wayne County,All ages,County,Wayne County,Wayne County,6.92,1.871369294605809
POINT (-99.13442 33.139397),Throckmorton County,Throckmorton County,All ages,County,Throckmorton County,Throckmorton County,6.91,1.867219917012448
POINT (-85.788849 31.09426),Geneva County,Geneva County,All ages,County,Geneva County,Geneva County,6.9,1.8630705394190872
POINT (-81.13355 38.033101),Fayette County,Fayette County,All ages,County,Fayette County,Fayette County,6.89,1.8589211618257258
